"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"9888",4934.95564410681,1.44995612065383,0.0587754222071302,24.6694292649067,2.27741200676117e-134,1.7037816322663e-132,NA,"9888",NA
"4381",552.986640142839,-2.54495894956265,0.1033198600915,-24.6318466489291,5.76033024228996e-134,4.28766399549846e-132,NA,"4381",NA
"11438",1065.59139838825,-1.65755720344774,0.0674223905740279,-24.5846697118784,1.84275696281532e-133,1.36475136271217e-131,NA,"11438",NA
"4793",1686.05792564461,-1.59121459286834,0.0647776273810695,-24.5642617243087,3.04531979221776e-133,2.24409615488527e-131,"NFKBIB","4793","NFKB inhibitor beta"
"4622",361.934827073375,4.01054310964165,0.163786564865167,24.486398581857,2.06226406106356e-132,1.51212177770919e-130,"MYH4","4622","myosin heavy chain 4"
"13792",369.945435388785,-3.10771858196601,0.127266680618881,-24.4189489884831,1.07604412930604e-131,7.85086058302594e-130,NA,"13792",NA
"4613",2113.12662726014,-1.48883912807099,0.0610140106354522,-24.401594200495,1.64482691116295e-131,1.19416054269554e-129,"MYCN","4613","MYCN proto-oncogene, bHLH transcription factor"
"11471",3760.72007296674,-1.11098041988072,0.0455393831175769,-24.3960357787963,1.88415815000357e-131,1.36121190268395e-129,NA,"11471",NA
"4871",1754.25149799141,-1.79259333192012,0.0735280592058837,-24.3797177741457,2.80698084936586e-131,2.01801384185142e-129,"NPM1P2","4871","nucleophosmin 1 pseudogene 2"
"17938",930.891057346889,-1.89412540596341,0.0777152673586038,-24.3726293473751,3.33738651030828e-131,2.3876894363555e-129,NA,"17938",NA
"7457",959.561594045913,-2.1388580617598,0.087871494686784,-24.3407497435171,7.26431584726566e-131,5.17205251000006e-129,NA,"7457",NA
"676",605.654170098824,-2.08679697721731,0.0858107006219425,-24.3186101744017,1.24600769059928e-130,8.82868333848664e-129,"BRDT","676","bromodomain testis associated"
"19752",6966.04805606542,1.04719561627751,0.0431513606011146,24.2679628565516,4.27341049283383e-130,3.01347004035335e-128,NA,"19752",NA
"13145",461.365005299309,-2.45277601863988,0.10135126424087,-24.200744184213,2.18494907934249e-129,1.53341807292141e-127,NA,"13145",NA
"14345",1248.4907971535,1.80789895932619,0.074781099371399,24.1758809983161,3.99089474614889e-129,2.78757378050912e-127,NA,"14345",NA
"12916",815.817509505704,-1.92923573293469,0.0798965345287474,-24.14667600183,8.09179149919696e-129,5.62532184505494e-127,NA,"12916",NA
"17677",2255.35802338392,-1.25066284647467,0.0518521047389655,-24.1198086899418,1.54924839794073e-128,1.07196351590847e-126,NA,"17677",NA
"1496",679.495343922114,2.03805120067571,0.0845080260036236,24.1166584649406,1.67176163516728e-128,1.15132817659324e-126,"CTNNA2","1496","catenin alpha 2"
"4829",450.871623803202,-2.60090358368587,0.107886183106646,-24.1078468881865,2.06826294989935e-128,1.41777020258682e-126,"NMBR","4829","neuromedin B receptor"
"13395",749.956363794828,-2.02783183744228,0.084121117984617,-24.1060970898307,2.15752941424148e-128,1.47211428273569e-126,NA,"13395",NA
"15783",1120.05262837464,2.03191724765718,0.0843251897403999,24.0962072414252,2.7393741046652e-128,1.86050209928828e-126,NA,"15783",NA
"3779",1272.58071138268,-1.63652025659166,0.0679238770625417,-24.0934458892094,2.92817095352829e-128,1.97960474830733e-126,"KCNMB1","3779","potassium calcium-activated channel subfamily M regulatory beta subunit 1"
"11873",450.256121980529,-2.57259579571849,0.106782845563827,-24.0918452971998,3.04349548088792e-128,2.0481751779601e-126,NA,"11873",NA
"13521",7251.69353875924,-1.2849364530134,0.0533739685848988,-24.074216084748,4.65667215851786e-128,3.11954701237437e-126,NA,"13521",NA
"4902",3034.69182901513,1.52420420879553,0.0634942650784545,24.0053839021871,2.44313318992029e-127,1.62927135534142e-125,"NRTN","4902","neurturin"
"11188",1646.04498038007,1.47071757768884,0.0612758541366683,24.0015842848732,2.67685637919503e-127,1.7770950142602e-125,"NISCH","11188","nischarin"
"15537",3621.65221195857,1.20921997390529,0.050570741903845,23.9114541013555,2.32800746901601e-126,1.53857282862592e-124,NA,"15537",NA
"3835",5496.29709942867,-1.21291838805346,0.0507353267391948,-23.9067818423338,2.60365719467346e-126,1.71306695245971e-124,"KIF22","3835","kinesin family member 22"
"11194",320.281587756857,4.79254759634828,0.20058934525642,23.8923338137518,3.67966235782566e-126,2.41026061465042e-124,"ABCB8","11194","ATP binding cassette subfamily B member 8"
"15074",1496.22837370371,1.84493643111729,0.0773561322366632,23.8499053374708,1.01493274487691e-125,6.61861893539644e-124,NA,"15074",NA
"8830",1119.09057857363,-1.53811627952378,0.0645646598443171,-23.8228821035005,1.93496363715749e-125,1.25627727244172e-123,"PTLAH","8830","patella aplasia-hypoplasia"
"6058",1373.42152304554,-1.497270459885,0.0628971093232689,-23.8050758770099,2.95905732193029e-125,1.91274503555301e-123,NA,"6058",NA
"14501",569.129258708053,-2.41742148080743,0.101650558311388,-23.7816842422262,5.16764191085886e-125,3.32579504289248e-123,NA,"14501",NA
"4312",7582.2834927043,1.11916996011509,0.0470619449342601,23.7807842765198,5.27963243408428e-125,3.3830966440667e-123,"MMP1","4312","matrix metallopeptidase 1"
"7734",2459.30427166169,1.24018258396431,0.0523204597134621,23.7035872917838,3.31128581513432e-124,2.11262901919695e-122,NA,"7734",NA
"3565",1279.7844491408,1.6110910590942,0.0680399171084727,23.6786158414291,5.98938098266908e-124,3.80480590183521e-122,"IL4","3565","interleukin 4"
